modelo | nserie | memoria | resetmapa
306 | 550 53 91 00 | PART=68HC11E9 | [110 1B6 FF][1B7 1B7 28][1B8 1D5 FF]
306 | 550 53 92 00 | PART=68HC11E9 | [110 1B6 FF][1B7 1B7 28][1B8 1D5 FF]
306 | 550 54 15 00 | PART=93C66 | [112 16F FF][170 17B 00]
306 | 550 57 20 00 | PART=93C56 | [CA CA 01][CB D7 00][D8 E9 FF]
306 | 550 57 81 00 | PART=93C66 | [110 13B 00][140 14B 00][14C 1DD FF]
306 | 550 57 81 00 AQ | PART=93C66 | [170 17B FF]
306 | 550 57 92 00 | PART=93C66 | [110 13B 00][140 14B 00][14C 1DD FF]
306 | 550 58 95 00 | PART=93C56 | [15 BE FF][C1 D0 00][D1 EA FF]
306 | 550 74 10 00 | PART=93C66 | [111 12C 00][12D 1DD FF]
306 | 550 74 10 00 | PART=93C66 | [170 17B FF]
306 | 550 86 45 00 | PART=95080 | [340 39F FF]
306 | 96 320 51 80 (550 58 95 00) | PART=93C56 | [B5 BE 54][CA D7 FF][D8 EA 54]
306 | 96 320 51 80 (550 58 95 00) V2 | PART=93C56 | [B5 BE 54][CA D7 FF][D8 EA 54]
306 | 96 320 51 80 (550 58 95 00) V3 | PART=93C56 | [B5 BE 54][CA D7 FF][D8 EA 54]
306 | 96 320 520 80 (550 57 20 00) | PART=93C56 | [CA D7 FF][D8 E9 54]
306 | 96 335 040 80  (550 74 10 00) | PART=93C66 | [14E 161 FF][162 16F 54][170 17B FF]
306 | 96 336 211 80 AM (550 57 81 00) | PART=93C66 | [120 13B FF][140 14B FF][14C 1DD 54]
306 | 96 336 211 80 AQ (550 57 81 00) | PART=93C66 | [11E 1DD FF]
306 | 96 336 212 80 AN (550 57 92 00) | PART=93C66 | [120 13B FF][140 14B FF][14C 1DD 54]
306 | 96 352 688 80 (550 54 15 00) | PART=93C66 | [11E 1DD FF]
306 | 96 368 940 AP (550 54 15 00) | PART=93C66 | [111 1DD FF]
306 | 96 369 955 80 (550 74 10 00) | PART=93C66 | [170 17B FF]
306 | 96 374 919 80 AP (550 58 14 00) | PART=93C56 | [B5 BE FF][CA EA FF]
306 | 96 375 472 80 (550 86 45 00) | PART=95080 | [300 32F FF][340 39F FF]
306 | 96 375 472 80 AB (550 86 45 00) | PART=95080 | [300 32F FF]
307 | 96 357 842 80 (5WK42908) | PART=95080 | [0 1F 54][1D0 3FE 54]
307 | 96 407 229 80 (5WK42908) | PART=95080 | [0 1F 54][1D0 3FE 54]
307 | 96 458 407 80 (5WK42908) | PART=95080 | [0 1F 54][1D0 3FE 54]
307 | 96 544 911 80 - 606 87 73 00 | PART=95320 | [950 BBF FF] [BC0 BD7 0]
307 | 96 544 912 80 - 606 87 75 00 | PART=95320 | [950 BBF FF] [BC0 BD7 0]
307 | 96 523 638 80 | PART=95080 | [200 20F 00][240 25F FF]
307 | 96 534 933 80 | PART=95320 | [951 BBF FF][BC2 BD7 00]
307 | 96 544 910 80 | PART=95320 | [951 BBF FF][BC2 BD7 00]
307 | 96 357 842 80 | PART=95080 | [10 1F FF][110 3FE FF]
307 | 96 458 407 80 | PART=95080 | [10 1F FF][110 3FE FF]
307 | 96 501 092 80 | PART=95080 | [10 1F FF][110 3FE FF]
307 | 96 501 094 80 | PART=95080 | [10 1F FF][110 3FE FF]
307 | 96 527 121 80 | PART=95080 | [10 1F FF][110 3FE FF]
307CC | 96 527 123 80 | PART=95080 | [0 1F FF][1F0 1F0 FF][1F4 1F4 00][210 21D FF]
307 | 96 501 092 80 (5WK42908) | PART=95080 | [0 1F 54][1D0 3FE 54]
307 | 96 501 094 80 (5WK42908) | PART=95080 | [0 1F 54][1D0 3FE 54]
307 | 96 520 138 80 (5WK43349) | PART=95080 | [0 1F FF][1E0 3FE FF]
307 | 96 523 638 80 (601 95 82 00) | PART=95080 | [200 20F FF][240 25F FF]
307 | 96 527 121 80 (5WK42908) | PART=95080 | [0 1F 54][1D0 3FE 54]
307 | 96 527 123 80 (5WK43349) | PART=95080 | [0 1F FF][1E0 3FE FF]
307 | 96 534 933 80 (603 72 49 00) | PART=95320 | [980 A3F FF]
307 | 96 544 910 80 (608 87 71 00) | PART=95320 | [C80 FFF FF]
307 | 96 544 911 80 (606 87 73 00) | PART=95320 | [950 BBF 54][BC0 BD7 FF]
307 | 96 544 912 80 (606 87 75 00) | PART=95320 | [980 9BF FF][A80 B5F FF][BC0 BD7 FF]
307 | 96 458 407 80 - 5WK42908 | PART=95080 | [0 1F FF] [1D0 3FE FF] [3FF 3FF 75]
307 | 96 501 094 80 - 5WK42908 | PART=95080 | [0 1F FF] [1D0 3FE FF] [3FF 3FF 75]
307 | 96 527 121 80 - 5WK42908 | PART=95080 | [0 1F FF] [1D0 3FE FF] [3FF 3FF 75]
307 | 96 527 123 80 - 5WK43349 | PART=95080 | [0 1F FF] [1D0 3FE FF] [3FF 3FF 75]
