modelo | nserie | memoria | resetmapa
C4 | 610 95 58 00 - 96 653 966 80 | PART=95320 | [C80 D7F FF] [E80 EDF FF] [F00 F5F FF]
C4 | 610 95 58 00 - 96 736 251 80 | PART=95320 | [C80 D7F FF] [E80 EDF FF] [F00 F5F FF]
C4 | 602 32 74 00 - 96 591 119 80 | PART=95080 | [340 36F 0] [370 3FF FF]
C4 | 603 72 58 00 - 96 581 379 80 | PART=95320 | [980 FEF FF]
C4 | 603 72 61 00 - 96 626 439 80 | PART=95320 | [948 BBF FF]
C4 | 606 47 47 00 - 96 642 179 80 | PART=95320 | [958 BBF FF]
C4 | 620 67 43 00 - 96 762 092 80 | PART=95320 | [B35 FFF FF]
C4 | 96 779 092 80 | PART=95640 | [0 393 FF] [C2C 1FFF FF]
C4 | 620 57 28 00 | PART=95320 | [B35 FFF FF]
C4 | 96 750 271 80 | PART=95640 | [0 9F FF] [360 38F FF] [1000 1FFF FF]
C4 | 96 750 281 80 | PART=95640 | [0 9F FF] [360 38F FF] [1000 1FFF FF]
C4 | 603 72 58 00 - 96 626 436 80 | PART=95320 | [980 FEF 54]
C4 | 603 72 61 00 - 96 626 436 80 | PART=95320 | [980 BBF 54]
C4 | 96 786 915 80 | PART=95640 | [406 416 55] [1000 1FFF FF]

C5 | 608 99 03 00 - 96 652 660 80 AD | PART=95320 | [B9D C4D 0] [C4E C4E 55] [C4F C4F 0] [C50 C50 55] [C51 C68 0] [C69 FFF FF]
C5 | 610 96 31 00 - 96 655 581 80 | PART=95320 | [B9D C4D 0] [C51 C68 0] [C69 FFF FF]
C5 | 610 96 31 00 - 96 735 765 80 | PART=95320 | [B9D C4D 0] [C51 C68 0] [C69 FFF FF]
C5 | 603 48 19 00 - 96 581 770 80 | PART=95320 | [950 F1F FF]
C5 | 603 48 19 00 - 96 595 323 80 | PART=95320 | [950 FEF 54]
C5 | 604 28 95 00 | PART=95320 | [8A1 93F 00] [947 FFF FF]
C5 | 608 98 95 00 | PART=95320 | [BA0 C4D 00] [C4E C4E 55] [C4F C4F 00] [C50 C50 55] [C51 C68 00] [C69 FFF FF]
C5 | 619771200 | PART=95320 | [A70 AAF 00] [AB1 B04 00] [B08 B14 00] [B15 B15 55] [B16 B16 00] [B17 B17 55] [B18 B34 00] [C80 FFF FF]
C5 | 603 48 19 00 | PART=95320 | [950 FEF FF]
C8 | 1400596980 | PART=95160 | [4D0 61B FF]
C8 | 1400612380 | PART=95160 | [4D0 61B FF]
C8 | 1401277280 | PART=95160 | [4D0 61B FF]
DS3 | 620 67 43 00 - 96 762 092 80 | PART=95320 [B35 FFF FF]
DS3 | 618 30 04 00 | PART=95320 |  [AE4 FFF FF]
DS4 | 96 779 092 80 | PART=95640 |  [0 393 FF] [C2C FFF FF]
JUMPER | 13 284 470 80 | PART=95080 |  [10 3F FF] [110 1FF FF]
JUMPER RELAY | 13 284 470 80 - 5WK43154 | PART=95080 [0 3F FF] [100 1FF FF]
JUMPY | 550 54 00 00 | PART=68HC11E9 | [0 3F FF]
JUMPY | 550 90 42 00 | PART=95080 | [310 32F 00] [340 3FF FF]
JUMPY | 14 810 020 80 - 550 54 00 00 | PART=68HC11E9 | [111 1AB FF] [1AD 1C2 FF] [1C4 1CE FF] [1EB 1EF FF]
JUMPY | 14 893 060 80 - 550 90 42 00 | PART=95080 | [310 32F FF] [340 3FF FF]
NEMO | 610156000 | PART=95320 | [5A0 916 00] [917 C1F FF]
NEMO | 610156200 | PART=95320 | [5A0 916 00] [917 C1F FF]
NEMO | 610 15 58 00 | PART=95320 | [574 59F FF] [5A0 916 0] [C1F FF] [C26 C2F FF]
RELAY | 13 567 910 80 | PART=25320 | [1B0 20F FF] [210 216 0] [217 218 FF] [219 21F 0] [220 221 FF] [222 228 0] [229 22A FF] [22B 231 0] [232 233 FF] [234 23A 0] [23B 23C FF] [23D 243 0] [244 245 FF] [246 24C 0] [24D 24E FF] [24F 255 0] [256 257 FF] [258 25E 0] [25F 260 FF] [261 267 0] [268 269 FF] [26A 270 0] [271 272 FF] [273 279 0] [27A 27B FF] [27C 282 0] [283 284 FF] [285 28B 0] [28C 28D FF] [28E 294 0][295 296 FF] [297 2CD 0] [2CE 2CF FF] [2D0 2D2 0] [2D3 2D4 FF] [2D5 2D7 0][2D8 2D9 FF] [2DA 2DC 0] [2DD 2DE FF] [2DF 2E1 0] [2E2 2E3 FF] [2E4 2E6 0] [2E7 2E8 FF] [2E9 2EB 0] [2EC 2ED FF] [2EE 2F0 0] [2F1 2F2 FF] [2F3 2F5 0] [2F6 2F7 FF] [2F8 2FA 0] [2FB 2FC FF] [2FD 2FF 0] [300 301 FF] [302 304 0] [305 306 FF] [307 309 0] [30A 30B FF] [30C 30E 0] [30F 310 FF] [311 313 0] [314 315 FF] [316 31F 0] [320 37B FF] [37C 3A0 0] [3A1 3A1 FF] [3A2 3C6 0] [3C7 3C7 FF] [3C8 3EC 0] [3ED 3ED FF] [3EE 412 0] [413 473 FF] [474 4BC 0] [4BD 4BD FF] [4BE 506 0] [507 507 FF] [508 550 0] [551 551 FF] [552 59A 0] [59B 5FB FF]
