modelo | nserie | memoria | resetmapa
308 | 96 649 097 80 (607 05 95 00) | PART=95320 | [C80 FFF FF]
308 | 96 649 099 80 (608 98 93 00) | PART=95320 | [C80 FFF FF]
308 | 96 650 999 80 (610 71 52 00) | PART=95320 | [B9D FFF FF]
308 | 96 651 000 80 (610 71 49 00) | PART=95320 | [C80 FFF FF]
308 | 96 652 501 80 (608 99 06 00) | PART=95320 | [B9D FFF FF]
308 | 96 667 754 80 (0 285 010 704) | PART=95160 | [21 24 FF][420 59F FF]
308 | 96 742 914 80 (619 76 38 00) | PART=95320 | [C80 CFE FF][E80 EDF 54]
308 | 96 649 097 80 - 607 05 95 00 | PART=95320 | [B9D C68 0] [C69 FFF FF]
308 | 96 742 914 80 - 619 76 38 00 | PART=95320 | [B35 FFF FF]
308 | 610 62 29 00 - 96 649 081 80 | PART=95320 | [B9D C4D 0] [C4E C4E 55] [C4F C4F 0] [C50 C50 55] [C51 C68 0] [C69 FFF FF]
308 | 610 71 49 00 - 96 651 000 80 | PART=95320 | [B9D C4D 0] [C4E C4E 55] [C4F C4F 0] [C50 C50 55] [C51 C68 0] [C69 FFF FF]
308 | 610 71 67 00 - 96 651 000 80 | PART=95320 | [B9D C4D 0] [C4E C4E 55] [C4F C4F 0] [C50 C50 55] [C51 C68 0] [C69 FFF FF]
308 | 608 44 47 00 | PART=95320 | [B9D C4D 0] [C4E C4E 55] [C4F C4F 0] [C50 C50 55] [C51 C68 0] [C69 FFF FF]
308 | 96 668 439 80 - 0 285 010 702 | PART=95160 | [3A0 45B FF] [460 4EF 0] [4F0 60F FF]
308 | 96 750 688 80 - 0 285 010 828 | PART=95160 | [3A0 45B FF] [460 4EF 0] [4F0 60F FF]
405 | 550 72 52 00 | PART=93C66 | [112 16F FF][170 17B 00]
405 | 96 385 925 80 (550 72 52 00) | PART=95160 | [150 161 FF][162 16F 54][170 17B FF]
405 | 96 385 925 80 AK (550 72 52 00) | PART=95160 | [14E 15F FF][170 17F FF]
405 | 96 385 925 80 AM (550 72 52 00) | PART=95160 | [14E 15F FF]
406 | 550 39 39 00 | PART=68HC11E9 | [111 11D 00][1B7 1B7 29][1D0 1D8 FF]
406 | 550 39 40 00 | PART=68HC11E9 | [111 11D 00][1B7 1B7 29][1D0 1D8 FF]
406 | 550 53 75 00 | PART=93C66 | [110 13B 00][140 14B 00][14C 1DD FF]
406 | 550 53 75 00 AI | PART=93C66 | [140 14A 00]
406 | 550 53 94 00 | PART=68HC11E9 | [111 11D 00][1B7 1B7 29][1D0 1D8 FF]
406 | 550 53 94 00 AQ | PART=68HC11E9 | [1A2 1AF 00][1B8 1C7 00]
406 | 550 53 95 00 | PART=68HC11E9 | [111 11D 00][1B7 1B7 29][1D0 1D8 FF]
406 | 550 53 95 00 AQ | PART=68HC11E9 | [1A2 1AF 00]
406 | 550 53 95 00 AR | PART=68HC11E9 | [1A1 1C8 00]
406 | 550 53 96 00 | PART=68HC11E9 | [111 11D 00][1B7 1B7 29][1D0 1D8 FF]
406 | 550 53 96 00 | PART=68HC11E9 | [1A1 1CE 00]
406 | 550 54 04 00 V1 | PART=93C56 | [BC BD FF][D5 D5 01][E3 E9 FF]
406 | 550 54 04 00 V2 | PART=93C56 | [BC BD 00][BF BF 00][D5 D5 01][E0 E9 FF]
406 | 550 72 52 00 | PART=93C66 | [11E 121 00][122 1DC FF]
406 | 550 72 52 00 AG | PART=93C66 | [14E 15F 00][170 17F FF]
406 | 550 72 52 00 AK | PART=93C66 | [14E 15F 00][170 17F FF]
406 | 550 72 52 00 AM | PART=93C66 | [14E 15F 00]
406 | 600 90 28 00 | PART=95080 | [310 39F FF]
406 | 600 90 28 00 AD | PART=95080 | [380 39F FF]
406 | 96 305 507 80 (550 53 75 00) | PART=93C66 | [120 13B FF][140 14B FF][14C 1DD 54]
406 | 96 305 507 80 A1 (550 53 75 00) | PART=93C66 | [140 14A FF]
406 | 96 318 470 80 (550 54 04 00) | PART=93C56 | [BC BD FF][BF BF FF][D5 D5 FF] [E3 E9 FF]
406 | 96 371 764 80 (550 72 52 00) | PART=93C66 | [14E 161 FF][162 1DC 54]
406 | 96 371 764 80 AG (550 72 52 00) | PART=93C66 | [14E 15F FF][170 17F FF]
406 | 96 458 502 80 (600 90 28 00) | PART=95080 | [380 3FF 54]
