modelo | nserie | memoria | resetmapa
KOLEOS | 609 22 87 00 | PART=95320 | [6C0 FFF FF]
KOLEOS | 609 22 88 00 | PART=95320 | [6C0 FFF FF]
LAGUNA | 8200 148 227 - 550 75 87 00 | PART=95080 | [300 31F 0] [320 37F FF]
LAGUNA | 8200 412 021 - 605 48 75 00 | PART=95160 | [4E1 69F FF]
LAGUNA | 285580006R - 606 98 24 00 | PART=95640 | [C05 DCF 0] [F50 150F FF]
LAGUNA | 285586520R - 610 90 16 00 | PART=95640 | [C05 DCF 0] [F50 150F FF]
LAGUNA | 550 34 74 00 - 7700 414 091 | PART=68HC11E9 | [100 159 FF]
LAGUNA | 550 44 91 00 - 7700 414 216 | PART=68HC11E9 |[100 159 FF]
LAGUNA | 550 44 92 00 - 7700 414 215 | PART=68HC11E9 |100 159 FF]
LAGUNA | 550 44 92 00 - 7700 414 215 C | PART=68HC11E9 | [15A 175 00]
LAGUNA | 550 53 62 00 - 7700 436 420 | PART=93c66 | [10A 111 00][112 1D2 FF]
LAGUNA | 550 54 84 00 - 7700 418 152 | PART=93c66 | [105 105 FF][15A 175 00]
LAGUNA | 550 62 96 00 - 7734 420 013 | PART=93c66 | [112 171 00]
LAGUNA | 550 75 87 00 - 8200 148 227 V1 | PART=95080 | [100 21F 00][220 27F FF]
LAGUNA | 550 75 87 00 - 8200 148 227 V2 | PART=95080 | [380 3BF FF]
LAGUNA | 550 75 88 00 - 8200 108 371 | PART=95080 | [100 21F 00][220 27F FF]
LAGUNA | 550 75 88 00 - 8200 108 371 AF | PART=95080 | [300 30F 00][320 33F FF]
LAGUNA | 550 80 44 00 - 8200 018 830 | PART=93c66 | [111 171 FF]
LAGUNA | 601 95 88 00 - 8200 138 952 V1 | PART=95080 | [340 341 00][360 37F FF]
LAGUNA | 601 95 88 00 - 8200 138 952 V2 | PART=95080 | [140 30F 00][310 31F FF]
LAGUNA | 603 94 77 00 - 8200 325 696 V1 | PART=95160 | [500 5FF FF]
LAGUNA | 603 94 77 00 - 8200 410 977 | PART=95160 | [500 5FF FF]
LAGUNA | 603 94 78 00 - 8200 410 978 | PART=95160 | [500 5FF FF]
LAGUNA | 605 48 75 00 - 8200 412 021 | PART=95160 | [500 65F FF]
LAGUNA | 605 48 76 00 - 8200 687 757 | PART=95160 | [180 71F FF]
LAGUNA | 606 98 24 00 | PART=95640 | [C80 1FFF FF]
LAGUNA | 610 71 62 00 | PART=95640 | [C80 C9F FF] [E4A 1501 FF]
LAGUNA | 7700 418 152 (550 54 84 00) | PART=93C66 | [112 15F FF]
LAGUNA | 7700 436 420 (550 53 62 00) | PART=93C66 | [12A 141 FF] [142 1D2 54]
LAGUNA | 7734 420 013 (550 62 96 00) | PART=93C66 | [12C 154 FF] [160 1CF 54]
LAGUNA | 8200 018 830 (550 80 44 00) | PART=93C66 | [160 167 54] [16A 171 54]
LAGUNA | 8200 018 835 (550 80 48 00) | PART=93C66 | [162 174 54] [175 188 FF]
LAGUNA | 8200 101 440 A (550 54 84 00) | PART=93C66 | [12A 141 FF][14A 1CF FF]
LAGUNA | 8200 108 370 (550 75 87 00) | PART=95080 | [300 31F FF][320 37F 54]
LAGUNA | 8200 108 371 (550 75 88 00) | PART=95080 | [300 31F FF][320 37F 54]
LAGUNA | 8200 138 952 (601 95 88 00) | PART=95080 | [340 35F FF][360 3BF 54]
LAGUNA | 8200 138 952 (601 95 88 00) V2 | PART=95080 | [140 31F FF]
LAGUNA | 8200 148 227 (550 75 87 00) | PART=95080 | [100 27F FF]
LAGUNA | 8200 148 227 (550 75 87 00) V2 | PART=95080 | [380 3BF FF]
LAGUNA | 8200 325 696 (603 94 77 00) | PART=95160 | [590 70F FF] [780 7DF FF][7E9 7FD FF]
LAGUNA | 8200 410 977 (603 94 77 00) | PART=95160 | [500 69F FF]
LAGUNA | 8200 410 978 (603 94 78 00) | PART=95160 | [590 70F FF]
LAGUNA | 8200 412 021 (605 48 75 00) | PART=95160 | [44F 45F 55][500 63F FF]
LAGUNA | 8200 412 026 (607 13 93 00) | PART=95160 | [590 71F FF][780 7DF FF][7E9 7FD FF]
LAGUNA | 8200 687 757 (605 48 76 00) | PART=95160 | [4E1 69F 54]
LAGUNA | 285580054R | PART=95640 | [C00 D9F 00] [F50 1FFD FF]
LATITUDE | 285583504R | PART=95640 | [A0 A0 00][A1 F0 FF][457 477 00][478 5A3 FF][5A4 5E5 00]
MASTER | 8200 942 209 A - 611 13 65 00 | PART=95640 | [BC6 C2D 0] [C2E C31 FF] [C32 C36 0] [C37 C38 AA] [C39 C39 FF] [C3A DFC 0][DFD 109F FF] [10A0 11DF 0]
MASTER | 602 99 81 00 | PART=95080 | [2C0 33F FF] [353 3FF FF]
MASTER | 604 04 49 00 | PART=95080 | [2C0 33F FF] [353 3FF FF]
MASTER | 605 04 52 00 | PART=95080 | [2C0 33F FF] [353 3FF FF]
